prompt,block,lpips_to_ref,clip_score
a photo of a colorful model,Reference,0.0,0.2298583984375
a photo of a colorful model,down_blocks.0.resnets.0,0.6600905656814575,0.2021484375
a photo of a colorful model,down_blocks.0.resnets.1,0.4628676176071167,0.2039794921875
a photo of a colorful model,down_blocks.1.resnets.0,0.6895574331283569,0.2161865234375
a photo of a colorful model,down_blocks.1.resnets.1,0.5918798446655273,0.225341796875
a photo of a colorful model,down_blocks.2.resnets.0,0.6021191477775574,0.218505859375
a photo of a colorful model,down_blocks.2.resnets.1,0.2252446413040161,0.239501953125
a photo of a colorful model,mid_block.resnets.0,0.36546584963798523,0.2342529296875
a photo of a colorful model,mid_block.resnets.1,0.1716446727514267,0.2352294921875
a photo of a colorful model,up_blocks.0.resnets.0,0.4794248342514038,0.2008056640625
a photo of a colorful model,up_blocks.0.resnets.1,0.2065563052892685,0.22900390625
a photo of a colorful model,up_blocks.0.resnets.2,0.185781329870224,0.2266845703125
a photo of a colorful model,up_blocks.1.resnets.0,0.27610886096954346,0.2244873046875
a photo of a colorful model,up_blocks.1.resnets.1,0.26564761996269226,0.2235107421875
a photo of a colorful model,up_blocks.1.resnets.2,0.23799066245555878,0.2349853515625
a photo of a colorful model,up_blocks.2.resnets.0,0.2572427988052368,0.2210693359375
a photo of a colorful model,up_blocks.2.resnets.1,0.6125106811523438,0.2047119140625
a photo of a colorful model,up_blocks.2.resnets.2,0.7688624858856201,0.214111328125
a painting of a futuristic city at sunset,Reference,0.0,0.302734375
a painting of a futuristic city at sunset,down_blocks.0.resnets.0,0.7818362712860107,0.1602783203125
a painting of a futuristic city at sunset,down_blocks.0.resnets.1,0.4099876880645752,0.316650390625
a painting of a futuristic city at sunset,down_blocks.1.resnets.0,0.3999420404434204,0.33203125
a painting of a futuristic city at sunset,down_blocks.1.resnets.1,0.20470307767391205,0.314453125
a painting of a futuristic city at sunset,down_blocks.2.resnets.0,0.45368629693984985,0.303466796875
a painting of a futuristic city at sunset,down_blocks.2.resnets.1,0.3477753698825836,0.30078125
a painting of a futuristic city at sunset,mid_block.resnets.0,0.1829734891653061,0.301025390625
